school_year,dpi_true_id,lat,long,school_name,accurate_agency_type,grade_band,school_enrollment,ELA,Mathematics,overall_rating,overall_score,sch_ach,sch_growth,per_ed,per_swd,per_lep,per_b_aa,per_hisp_lat
2023-24,3619_0176,43.051570008067,-87.91474002782,Golda Meir School,Milwaukee Public School,K-12,1211,0.556,0.465,Exceeds Expectations,78.5,62.4,82.2,0.545,0.093,0.016,0.592,0.142
2023-24,3619_0177,43.008937008217,-87.944704996396,Rogers Street Academy,Milwaukee Public School,K-8,570,0.189,0.18,Meets Expectations,65.1,24.1,75.5,0.93,0.161,0.46,0.068,0.893
2023-24,3619_0178,43.055831996284,-87.910769017372,Carver Academy,Milwaukee Public School,K-8,297,0.078,0.092,Meets Few Expectations,49.2,14.1,54.6,0.929,0.199,0,0.929,0.024
2023-24,3619_0179,43.085166981018,-87.941631017226,Franklin Elementary,Milwaukee Public School,K-8,344,0.064,0.012,Fails to Meet Expectations,45.7,9.8,53.7,0.942,0.273,0.003,0.933,0.044
2023-24,3619_0182,43.077724018636,-87.902102967679,Fratney Elementary,Milwaukee Public School,K-5,474,0.282,0.161,Meets Few Expectations,53.3,29.2,52.7,0.715,0.114,0.297,0.2,0.662
2023-24,3619_0185,43.075242011377,-87.894991006653,Gaenslen Elementary,Milwaukee Public School,K-8,677,0.065,0.028,Meets Few Expectations,55.6,7.7,63.2,0.932,0.49,0.004,0.809,0.097
2023-24,3619_0188,43.098407999193,-87.942283967483,Barbee Elementary,Milwaukee Public School,K-5,305,0.289,0.06,Meets Expectations,61.8,15.9,71.7,0.934,0.174,0.007,0.78,0.043
2023-24,3619_0191,42.939998997813,-87.953484034144,Garland Elementary,Milwaukee Public School,K-8,536,0.216,0.216,Meets Expectations,65.1,37.6,65.1,0.873,0.157,0.44,0.11,0.222
2023-24,3619_0192,43.166917987711,-88.037563994544,Goodrich Elementary,Milwaukee Public School,K-5,288,0.204,0.214,Meets Few Expectations,57.2,22.7,66,0.917,0.26,0.007,0.684,0.052
2023-24,3619_0193,43.005631981886,-87.951167024649,Grant Elementary,Milwaukee Public School,K-8,582,0.23,0.152,Meets Expectations,60.6,24.3,68.9,0.998,0.107,0.479,0.079,0.45
2023-24,3619_0194,43.125779020193,-88.061598012253,River Trail School of Agricultural Science,Milwaukee Public School,K-8,403,0.092,0.04,Meets Few Expectations,52.4,14.9,55.6,0.935,0.233,0.03,0.794,0.062
2023-24,3619_0196,43.106219010943,-88.012834027416,Grantosa Drive Elementary,Milwaukee Public School,K-8,551,0.07,0.1,Meets Few Expectations,48.1,11.7,57.5,0.911,0.194,0.015,0.875,0.036
2023-24,3619_0199,43.07818598723,-87.914479015355,King Jr Elementary,Milwaukee Public School,K-8,298,0.092,0.031,Meets Few Expectations,49.4,6.6,60.3,0.923,0.171,0,0.909,0.044
2023-24,3619_0202,43.01195801376,-87.958458023126,Greenfield Bilingual,Milwaukee Public School,K-8,555,0.228,0.173,Meets Expectations,66.6,31.5,75.5,0.941,0.159,0.483,0.068,0.903
2023-24,3619_0204,42.979390003243,-87.995008988304,Wedgewood Park School,Milwaukee Public School,6-8,552,0.319,0.24,Meets Expectations,63.7,32.3,70.8,0.77,0.19,0.246,0.23,0.574
2023-24,3619_0205,43.108874984602,-87.978247025971,Hampton Elementary,Milwaukee Public School,K-5,150,0.236,0.309,Exceeds Expectations,81.3,25.8,100,0.96,0.207,0.007,0.787,0.087
2023-24,3619_0208,43.077113983723,-87.882123025079,Hartford Avenue Elementary,Milwaukee Public School,K-8,380,0.102,0.039,Meets Few Expectations,48,13.1,54.6,0.895,0.168,0,0.829,0.061
2023-24,3619_0210,43.069280364203,-87.910606352176,King International Baccalaureate Middle,Milwaukee Public School,6-8,210,0.046,0.013,Fails to Meet Expectations,18.4,6.4,11.9,0.948,0.21,0.014,0.914,0.029
2023-24,3619_0211,43.039235995635,-87.983374990515,Hawley Environmental School,Milwaukee Public School,K-5,297,0.085,0.109,Meets Few Expectations,49.4,22,51.8,0.889,0.256,0.003,0.744,0.094
2023-24,3619_0212,43.143965989884,-87.963776005415,Hawthorne Elementary,Milwaukee Public School,K-5,285,0.098,0.043,Fails to Meet Expectations,39,15.1,41.3,0.986,0.2,0,0.835,0.074
2023-24,3619_0214,43.007525998637,-87.923629036138,Hayes Bilingual School,Milwaukee Public School,K-8,638,0.178,0.136,Exceeds Expectations,70.5,22.3,81.2,0.87,0.227,0.74,0.024,0.959
2023-24,3619_0215,43.083887986412,-87.932802023335,Andrew S Douglas Middle,Milwaukee Public School,6-8,106,0.033,0.011,Fails to Meet Expectations,44.5,6.1,59.4,0.858,0.255,0.009,0.934,0.028
2023-24,3619_0217,43.058609004625,-87.975422995154,Hi-Mount Elementary,Milwaukee Public School,K-8,143,0.024,0.083,Fails to Meet Expectations,42.3,9.9,50.8,0.993,0.161,0,0.895,0.021
2023-24,3619_0218,43.063444985572,-87.907134037422,Holmes Elementary,Milwaukee Public School,K-8,289,0.083,0.076,Meets Few Expectations,52.1,10.2,65.1,0.969,0.308,0.01,0.917,0.035
