School Name,Sector,Grade Band,Enrollment,ELA,Math,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Sherman Elementary,Milwaukee Public Schools,K-8,281,0.017,0.017,Meets Few Expectations,48.5,9.5,58.4,0.954,0.167,0.007,0.893,0.057
James Madison Academic Campus,Milwaukee Public Schools,9-12,686,0.022,0.002,Meets Few Expectations,48.4,9.9,55.6,0.889,0.259,0.016,0.889,0.034
Stellar Collegiate Charter School,Public Charter Schools,K-5,233,0.036,0.182,Meets Few Expectations,48.4,25.9,47,0.983,0.18,0.459,0.073,0.876
"Shining Star Christian Schools, Inc.",Private Schools,K-8,543,0.038,0.023,Meets Few Expectations,48.3,14.9,48.9,0.869,0.007,0.002,0.917,0.048
"Atlas Preparatory Academy, Inc.",Private Schools,K-12,419,0.059,0.007,Meets Few Expectations,48,18.3,55.6,0.788,0.019,0.186,0.265,0.642
Manitoba Elementary,Milwaukee Public Schools,K-8,440,0.079,0.037,Meets Few Expectations,48,15.3,52.7,0.891,0.282,0.177,0.209,0.475
Holmes Elementary,Milwaukee Public Schools,K-8,266,0.043,0.007,Fails to Meet Expectations,47.3,9.7,56.5,0.959,0.282,0.008,0.887,0.064
Pratt Elementary,Milwaukee Public Schools,K-5,316,0.035,0.062,Fails to Meet Expectations,47.2,18.1,47,0.946,0.152,0,0.921,0.028
Eighty-First Street Elementary,Milwaukee Public Schools,K-5,332,0.074,0.074,Fails to Meet Expectations,47.1,19.7,47,0.822,0.256,0,0.786,0.054
Woodlands School - State Street Campus,Public Charter Schools,K-8,257,0.135,0.135,Fails to Meet Expectations,47,32.2,57.5,0.233,0.082,0,0.634,0.086
Barbee Elementary,Milwaukee Public Schools,K-5,300,0.071,0.035,Fails to Meet Expectations,46.9,12.8,53.7,0.96,0.123,0.007,0.82,0.033
Starms Discovery,Milwaukee Public Schools,K-8,238,0.031,0.008,Fails to Meet Expectations,46.9,8.7,59.4,0.945,0.294,0,0.891,0.05
Mitchell Elementary,Milwaukee Public Schools,K-8,589,0.056,0.05,Fails to Meet Expectations,46.8,16,46.1,0.915,0.251,0.457,0.175,0.762
Morse Mid,Milwaukee Public Schools,6-8,445,0.083,0.04,Fails to Meet Expectations,46.7,15.9,52.7,0.892,0.207,0.047,0.755,0.054
Riverwest Elementary,Milwaukee Public Schools,K-5,258,0.028,0.028,Fails to Meet Expectations,46.6,10.8,48.9,0.961,0.198,0,0.775,0.101
Green Tree Preparatory Academy,Milwaukee Public Schools,6-12,435,0.066,0.009,Fails to Meet Expectations,46.6,12.3,57.5,0.91,0.14,0.016,0.857,0.053
Rocketship Transformation Prep,Public Charter Schools,K-5,269,0.094,0.073,Fails to Meet Expectations,46.1,20,50.8,0.888,0.119,0.007,0.844,0.089
Fratney Elementary,Milwaukee Public Schools,K-5,483,0.185,0.115,Fails to Meet Expectations,46,28,41.3,0.712,0.116,0.277,0.211,0.642
Thurston Woods Elementary,Milwaukee Public Schools,K-8,355,0.013,0.019,Fails to Meet Expectations,45.6,9.9,53.7,0.941,0.135,0.011,0.87,0.065
Lancaster Elementary,Milwaukee Public Schools,K-8,320,0.012,0.006,Fails to Meet Expectations,44.6,4.6,50.8,0.953,0.159,0.003,0.878,0.047
Andrew S Douglas Middle,Milwaukee Public Schools,6-8,167,0.017,0,Fails to Meet Expectations,42.6,6.1,56.5,0.94,0.311,0,0.916,0.048
Hopkins Lloyd Community School,Milwaukee Public Schools,K-5,135,0.021,0.021,Fails to Meet Expectations,42.5,5.4,48,0.97,0.126,0,0.956,0.037
Audubon Technology and Communication Middle,Milwaukee Public Schools,6-8,425,0.048,0.029,Fails to Meet Expectations,42,13,41.3,0.84,0.259,0.296,0.202,0.68
Townsend Street Elementary,Milwaukee Public Schools,K-8,280,0.014,0,Fails to Meet Expectations,42,6.3,44.2,0.936,0.161,0,0.893,0.046
Grantosa Drive Elementary,Milwaukee Public Schools,K-8,510,0.03,0.026,Fails to Meet Expectations,40.2,10.9,45.1,0.918,0.212,0.012,0.876,0.02
Wisconsin Conservatory of Lifelong Learning,Milwaukee Public Schools,K-12,422,0.015,0.004,Fails to Meet Expectations,39.6,7.6,57.5,0.934,0.232,0.014,0.877,0.04
Obama School of Career and Technical Education,Milwaukee Public Schools,K-12,1402,0.023,0.008,Fails to Meet Expectations,36,11.5,48,0.877,0.264,0.032,0.771,0.134
Mount Calvary Lutheran School,Private Schools,K-8,NA,0.113,0.057,Fails to Meet Expectations,35.4,23.2,45.1,NA,NA,NA,NA,NA
Brown Street Academy,Milwaukee Public Schools,K-5,223,0.022,0.011,Fails to Meet Expectations,35.3,4.9,42.3,0.937,0.206,0.009,0.919,0.049
Siloah Lutheran School,Private Schools,K-8,49,0.087,0.043,Fails to Meet Expectations,34.3,19.9,NA,0.776,0,0,0.837,0.082
El Puente High School,Private Schools,9-12,108,0.025,0.013,Fails to Meet Expectations,31.5,27.6,NA,0.954,0,0.065,0.139,0.833
Zablocki Elementary,Milwaukee Public Schools,K-5,308,0.099,0.099,Fails to Meet Expectations,31.2,24.6,20.4,0.821,0.234,0.273,0.104,0.607
King International Baccalaureate Middle,Milwaukee Public Schools,6-8,271,0,0.005,Fails to Meet Expectations,23.9,6.4,16.9,0.956,0.166,0,0.934,0.03
Christian Faith Academy of Higher Learning,Private Schools,K-8,44,0,0,Fails to Meet Expectations,18.2,8.8,NA,1,0,0,0.955,0
NOVA-Northwest Opportunities Vocational Academy,Partnership,9-12,107,NA,NA,Fails to Meet Expectations,14.8,8.7,NA,0.981,0.234,0,0.897,0.065
Universal Scholars Academy,Private Schools,K-5,56,0.04,0.04,NR-DATA,NA,NA,NA,1,0,0,1,0
Torah Academy of Milwaukee,Private Schools,9-12,33,0.762,0.381,NR-DATA,NA,NA,NA,0,0.03,1,0,0
Groppi High,Milwaukee Public Schools,9-12,68,0,0,Alternate Rating - Needs Improvement,NA,NA,NA,0.897,0.235,0.044,0.868,0.059
Transition High,Milwaukee Public Schools,9-12,67,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.881,0.239,0,0.896,0.03
South Accelerated Academy,Milwaukee Public Schools,9-12,27,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.889,0.222,0.148,0.444,0.407
Vincent Accelerated Academy,Milwaukee Public Schools,9-12,60,0,0,Alternate Rating - Needs Improvement,NA,NA,NA,0.867,0.233,0.017,0.917,0.05
Project STAY-Supporting Teachers and Youth,Milwaukee Public Schools,9-12,101,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.802,0.267,0.03,0.792,0.168
CERT School,Private Schools,9-12,17,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,0.588,0.353
Divine Destiny School,Private Schools,K-8,82,NA,NA,NR-DATA,NA,NA,NA,0.988,0,0,1,0
Holy Redeemer Christian Academy,Private Schools,K-12,32,NA,NA,NR-DATA,NA,NA,NA,0,0,0,1,0
Jo's Learning Academy,Private Schools,K-5,75,NA,NA,NR-DATA,NA,NA,NA,0.253,0.04,0,1,0
Malaika Early Learning Center,Private Schools,K-5,82,NA,NA,NR-DATA,NA,NA,NA,1,0.024,0,1,0
ASSATA High,Partnership,9-12,112,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,0.955,0.17,0,0.938,0.018
Banner Preparatory School of Milwaukee,Partnership,9-12,46,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,0.891,0.13,0,0.891,0.065
Lad Lake Synergy School,Partnership,6-12,53,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.981,0.208,0.075,0.604,0.34
Milwaukee County Youth Education Center,Milwaukee Public Schools,6-12,5,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,NA,NA,NA,1,0
Shalom High,Partnership,9-12,106,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.934,0.189,0,0.906,0
Southeastern,Partnership,6-8,7,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,NA,NA,NA,0.714,0.143
"Right Step, Inc.",Private Schools,6-12,NA,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,NA,NA
Grant Gordon Learning Center,Milwaukee Public Schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Next Door Charter,Public Charter Schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Coletta Day School,Private Schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starms Early Childhood,Milwaukee Public Schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wells Street Academy,Private Schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
