School Name,Sector,Grade Band,Enrollment,ELA,Math,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Saint Thomas Aquinas Academy,Private School,K-8,223,0.726,0.758,Significantly Exceeds Expectations,94.8,92.6,94.4,0.372,0.009,0.175,0.018,0.417
Nativity Jesuit Academy,Private School,K-8,256,0.517,0.624,Significantly Exceeds Expectations,93.6,64.6,98.2,0.973,0.086,0.063,0,1
Whittier Elementary,Milwaukee Public School,K-5,142,0.684,0.632,Significantly Exceeds Expectations,89,74.9,91.7,0.62,0.141,0.085,0.204,0.31
Yeshiva Elementary School,Private School,K-8,205,0.615,0.538,Significantly Exceeds Expectations,88.6,69.9,88.8,0.654,0.015,0,0,0
Saint John's Lutheran School,Private School,K-8,319,0.608,0.671,Significantly Exceeds Expectations,87.4,76.7,88.8,0.652,0.003,0.514,0.041,0.16
Risen Savior Lutheran School,Private School,K-8,351,0.374,0.333,Significantly Exceeds Expectations,86.9,42.2,100,0.915,0.094,0.068,0.578,0.336
Saint Roman Parish School,Private School,K-8,336,0.436,0.492,Significantly Exceeds Expectations,86.9,60.1,95.5,0.851,0.039,0.5,0.027,0.679
Mount Lebanon Lutheran School,Private School,K-8,230,0.513,0.385,Significantly Exceeds Expectations,85.5,52.6,90.6,0.822,0.026,0,0.852,0.009
Saint Gregory the Great Parish School,Private School,K-8,185,0.526,0.457,Significantly Exceeds Expectations,85.3,64.3,92.5,0.832,0.022,0.178,0.059,0.719
Reagan College Preparatory High,Milwaukee Public School,9-12,1349,0.665,0.538,Significantly Exceeds Expectations,84.9,73.6,88.8,0.561,0.116,0.103,0.087,0.491
Saint Augustine Preparatory Academy,Private School,K-12,1844,0.459,0.425,Significantly Exceeds Expectations,83.2,52.4,90.7,0.859,0.069,0.036,0.05,0.912
New Testament Christian Academy,Private School,K-8,151,0.59,0.333,Significantly Exceeds Expectations,83.1,61.3,87.9,0.656,0,0,0.947,0
Saint Sebastian School,Private School,K-8,338,0.762,0.579,Significantly Exceeds Expectations,83.1,77.1,83.1,0.34,0.053,0.003,0.257,0.121
Bruce Guadalupe,Public Charter School,K-8,1410,0.454,0.467,Significantly Exceeds Expectations,83,54.3,90.7,0.785,0.091,0.218,0.011,0.965
Pilgrim Lutheran School,Private School,K-8,256,0.257,0.174,Exceeds Expectations,82.6,32.7,97.3,0.922,0.02,0,0.898,0.031
Saint Lucas Lutheran School,Private School,K-8,167,0.671,0.644,Exceeds Expectations,82.4,75.3,80.3,0.419,0.03,0,0.078,0.222
Saint Charles Borromeo Catholic School,Private School,K-8,191,0.646,0.635,Exceeds Expectations,82.3,76.2,81.1,0.45,0.031,0.309,0.016,0.424
Prince of Peace,Private School,K-8,341,0.312,0.316,Exceeds Expectations,82.2,43.4,92.5,0.827,0.032,0.61,0.012,0.982
Milwaukee College Preparatory School -- Lloyd Street,Public Charter School,K-8,477,0.3,0.433,Exceeds Expectations,82.1,45.9,91.7,0.857,0.14,0,0.931,0.038
Our Lady Queen of Peace,Private School,K-8,218,0.354,0.431,Exceeds Expectations,81.8,48,95.4,0.945,0.037,0.651,0.032,0.858
Saint Marcus Lutheran School,Private School,K-8,1085,0.321,0.349,Exceeds Expectations,81.8,43.6,92.5,0.84,0.077,0,0.888,0.04
Institute of Technology and Academics,Private School,K-8,210,0.419,0.24,Exceeds Expectations,81.6,27.6,95.4,0.995,0.005,0,0.971,0.014
Northwest Lutheran School,Private School,K-8,273,0.395,0.293,Exceeds Expectations,81.4,39.1,94.4,0.949,0.051,0,0.89,0.015
Hampton Elementary,Milwaukee Public School,K-5,150,0.236,0.309,Exceeds Expectations,81.3,25.8,100,0.96,0.207,0.007,0.787,0.087
Saint Agnes School,Private School,K-8,161,0.538,0.462,Exceeds Expectations,80.3,59.4,84,0.758,0.099,0.019,0.391,0.143
Milwaukee College Preparatory School -- 36th Street Campus,Public Charter School,K-8,478,0.416,0.485,Exceeds Expectations,80.3,51.9,85,0.776,0.117,0,0.902,0.038
Mother of Good Counsel School,Private School,K-8,182,0.473,0.127,Exceeds Expectations,80.1,41.3,88.7,0.791,0.005,0,0.742,0.082
Maryland Montessori,Milwaukee Public School,K-8,515,0.684,0.506,Exceeds Expectations,79.7,69.4,90.6,0.26,0.14,0.006,0.155,0.099
Saint Rafael the Archangel School,Private School,K-8,281,0.381,0.418,Exceeds Expectations,79.6,48.7,93.6,0.804,0.021,0.804,0.007,0.979
Divine Savior Holy Angels High School,Private School*,9-12,148,0.627,0.54,Exceeds Expectations,79.1,80,57.5,0.155,0,0,0.264,0.486
Salam School,Private School,K-12,1074,0.381,0.376,Exceeds Expectations,79.1,56.2,81.2,0.896,0,0.135,0.117,0
Garden Homes Lutheran School,Private School,K-8,256,0.261,0.174,Exceeds Expectations,78.6,42.9,76.5,1,0.008,0,0.891,0.035
Golda Meir School,Milwaukee Public School,K-12,1211,0.556,0.465,Exceeds Expectations,78.5,62.4,82.2,0.545,0.093,0.016,0.592,0.142
Marquette University High School,Private School*,9-12,122,0.802,0.791,Exceeds Expectations,78.4,85.2,71.7,0.721,0,0,0.189,0.672
Tamarack Waldorf School,Private School*,K-8,167,0.323,0.115,Exceeds Expectations,78,48.5,79.2,0.677,0.006,0,0.174,0.281
Mount Olive Christian Day School,Private School,K-8,165,0.505,0.379,Exceeds Expectations,78,60.6,80.3,0.624,0.012,0,0.576,0.097
Milwaukee College Preparatory School: Lola Rowe North Campus,Public Charter School,K-8,509,0.373,0.332,Exceeds Expectations,77.9,43.3,86,0.821,0.136,0,0.921,0.024
King's Academy Christian School Inc,Private School*,K-8,142,0.394,0.283,Exceeds Expectations,77,34.9,87.8,1,0.014,0,0.923,0.021
Saint John Paul II School,Private School,K-8,177,0.358,0.321,Exceeds Expectations,76.9,36.3,83.1,0.87,0.011,0.418,0.006,0.977
Fernwood Montessori,Milwaukee Public School,K-8,772,0.696,0.5,Exceeds Expectations,76.8,64.5,81.2,0.232,0.109,0.003,0.039,0.202
The City School,Private School*,K-8,179,0.125,0.192,Exceeds Expectations,76.3,18.1,82.2,0.994,0,0,0.821,0.179
Milwaukee College Preparatory School -- 38th Street,Public Charter School,K-8,478,0.28,0.277,Exceeds Expectations,76.3,36.9,84.1,0.82,0.159,0,0.904,0.052
Notre Dame School of Milwaukee,Private School,K-8,555,0.498,0.545,Exceeds Expectations,76.2,56,76.5,0.793,0.095,0.492,0.013,0.966
Saint Adalbert School,Private School,K-8,401,0.327,0.3,Exceeds Expectations,76.2,38.9,86,0.993,0.02,0.756,0,0.995
Milwaukee German Immersion,Milwaukee Public School,K-5,549,0.632,0.595,Exceeds Expectations,76.2,70.1,74.6,0.322,0.097,0,0.266,0.089
United Community Center Acosta Middle School,Public Charter School,6-8,180,0.312,0.382,Exceeds Expectations,76,40.3,86.8,0.839,0.117,0.356,0.011,0.961
Clara Mohammed School,Private School,K-12,64,0.158,0.105,Exceeds Expectations,75.4,15.9,85.9,0.609,0,0,0.969,0
Bay View Montessori School,Milwaukee Public School,K-8,484,0.634,0.461,Exceeds Expectations,75.3,68.2,71.7,0.38,0.128,0.01,0.062,0.242
Humboldt Park Elementary,Milwaukee Public School,K-8,589,0.342,0.336,Exceeds Expectations,75.3,45.8,87.9,0.852,0.178,0.43,0.121,0.26
Highland Community School,Public Charter School,K-8,414,0.632,0.448,Exceeds Expectations,75,56.7,82.1,0.435,0.21,0.019,0.37,0.123
Saint Margaret Mary School,Private School,K-8,154,0.186,0.134,Exceeds Expectations,74.8,26,87.9,0.974,0.026,0,0.877,0.026
Catholic East Elementary,Private School,K-8,223,0.392,0.392,Exceeds Expectations,74.7,63.4,81.2,0.655,0.063,0.009,0.628,0.108
Hope Christian School Fidelis,Private School,K-8,637,0.115,0.201,Exceeds Expectations,74.2,26.9,82.2,0.928,0.022,0,0.943,0.041
King International,Milwaukee Public School,9-12,1339,0.333,0.249,Exceeds Expectations,73.8,47.2,74.6,0.715,0.137,0.081,0.573,0.16
Salem Evangelical Lutheran School,Private School*,K-8,175,0.372,0.298,Exceeds Expectations,73.5,41.9,78.4,0.749,0.017,0.011,0.726,0.086
ALBA - Academia de Lenguaje y Bellas Artes,Milwaukee Public School,K-8,620,0.299,0.232,Exceeds Expectations,73.4,37.4,74.6,0.889,0.153,0.706,0,0.992
Academy of Accelerated Learning,Milwaukee Public School,K-5,538,0.453,0.458,Exceeds Expectations,73.4,55,73.6,0.764,0.201,0.149,0.141,0.331
Saint Vincent Pallotti Catholic School,Private School,K-8,185,0.41,0.2,Exceeds Expectations,72.9,44,81.2,0.724,0.005,0.016,0.405,0.341
Carmen High School of Science and Technology South Campus,Public Charter School,9-12,399,0.317,0.24,Exceeds Expectations,72.7,36.3,73.6,0.905,0.09,0.594,0.023,0.96
Siloah Lutheran School,Private School,K-8,93,0.071,0.071,Exceeds Expectations,72.4,20.5,74.6,0.968,0,0,0.978,0
Woodlands School,Public Charter School,K-8,370,0.567,0.362,Exceeds Expectations,72.3,58,80.2,0.351,0.054,0,0.341,0.208
Morgandale Elementary,Milwaukee Public School,K-8,578,0.258,0.205,Exceeds Expectations,72.1,27.3,87.9,0.882,0.213,0.36,0.142,0.566
Maple Tree Elementary,Milwaukee Public School,K-5,264,0.137,0.096,Exceeds Expectations,71.1,16.3,87.9,0.943,0.223,0.008,0.833,0.072
Milwaukee Scholars Charter School,Public Charter School,K-8,769,0.228,0.228,Exceeds Expectations,71.1,28.6,85.9,0.88,0.135,0.004,0.758,0.059
Destiny High School,Private School,9-12,245,0.031,0.019,Exceeds Expectations,70.9,8.8,89.8,1,0.016,0.008,0.984,0.012
Craig Montessori School,Milwaukee Public School,K-8,257,0.198,0.123,Exceeds Expectations,70.9,19.2,85,0.728,0.125,0,0.833,0.047
Christ St Peter Lutheran School,Private School,K-8,242,0.323,0.304,Exceeds Expectations,70.7,36.3,83.1,0.777,0.008,0.211,0.079,0.599
Blessed Savior Catholic School,Private School,K-8,274,0.169,0.156,Exceeds Expectations,70.7,24.4,82.2,0.894,0.011,0,0.953,0.022
Fairview Elementary,Milwaukee Public School,K-8,628,0.449,0.382,Exceeds Expectations,70.6,43.8,82.2,0.72,0.271,0.032,0.124,0.463
Wisconsin Lutheran High School,Private School,9-12,923,0.528,0.558,Exceeds Expectations,70.5,72.6,63.2,0.387,0,0.08,0.278,0.127
Hayes Bilingual School,Milwaukee Public School,K-8,638,0.178,0.136,Exceeds Expectations,70.5,22.3,81.2,0.87,0.227,0.74,0.024,0.959
Atonement Lutheran School,Private School,K-8,412,0.255,0.198,Exceeds Expectations,70.2,28.2,77.4,0.959,0.015,0,0.908,0.029
Trowbridge Street School of Great Lakes Studies,Milwaukee Public School,K-8,236,0.252,0.298,Exceeds Expectations,70.2,37.7,77.4,0.856,0.22,0.013,0.25,0.432
Downtown Montessori,Public Charter School,K-8,239,0.681,0.469,Meets Expectations,69.9,73.7,56.5,0.159,0.079,0,0.054,0.218
Cooper Elementary,Milwaukee Public School,K-8,459,0.538,0.538,Meets Expectations,69.8,60.4,72.7,0.686,0.194,0.072,0.174,0.375
